num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
141,2021,7,20,4,3,1,4,14,1401,99,99,2,16,2,2,4,2,9,69,99,9999,99,1,2,1
142,2021,8,15,3,2,1,5,1,105,99,99,1,29,4,4,6,1,4,67,5,9999,99,1,2,1
143,2021,8,23,4,3,1,5,1,101,12,12,1,21,3,3,5,1,4,32,5,2011,5,1,1,2
144,2021,8,23,4,3,1,5,1,101,12,12,1,30,5,5,7,1,4,32,5,2011,5,1,2,1
145,2021,8,8,2,1,1,5,1,108,6,99,1,39,6,6,8,1,4,999,99,9999,99,6,2,1
146,2021,8,15,3,2,1,5,22,2208,99,99,1,24,3,3,5,1,4,67,5,2018,5,1,2,1
147,2021,8,8,2,1,1,5,19,1903,99,99,1,30,5,5,7,1,4,76,5,2014,5,1,2,1
148,2021,8,8,2,1,1,5,19,1903,99,99,2,29,4,4,6,1,4,76,5,2014,5,1,2,2
149,2021,8,8,2,1,1,5,19,1903,99,99,1,999,16,12,18,9,4,32,1,9999,99,1,2,1
150,2021,8,17,3,2,1,5,5,502,99,99,1,25,4,4,6,1,4,27,1,2018,5,1,2,1
151,2021,8,17,3,2,1,5,5,502,99,99,1,30,5,5,7,1,4,999,99,9999,99,6,2,1
152,2021,8,22,4,3,1,5,11,1102,99,99,1,18,2,2,4,1,4,6,1,2014,5,1,2,1
153,2021,8,22,4,3,1,5,11,1102,99,99,1,22,3,3,5,1,4,6,5,2018,5,1,2,1
154,2021,8,22,4,3,1,5,11,1102,99,99,1,16,2,2,4,2,4,6,5,2018,5,1,2,1
155,2021,8,14,3,2,1,5,7,705,99,99,1,7,1,1,2,2,3,56,2,2012,5,1,2,1
156,2021,8,14,3,2,1,5,7,705,99,99,2,18,2,2,4,1,3,56,2,2012,5,1,2,1
157,2021,8,14,3,2,1,5,7,705,99,99,1,18,2,2,4,1,3,56,2,2012,5,1,2,1
158,2021,8,14,3,2,1,5,7,705,99,99,1,999,16,12,18,9,3,56,2,2012,5,1,2,1
159,2021,8,14,3,2,1,5,7,705,99,99,2,33,5,5,7,1,3,56,2,2012,5,1,2,1
160,2021,8,23,4,3,1,5,4,407,6,99,1,22,3,3,5,1,4,27,7,9999,99,1,2,1
161,2021,8,12,3,2,1,5,4,401,99,99,2,999,16,12,18,9,4,999,99,9999,99,1,2,1
162,2021,8,19,4,3,1,5,3,303,99,99,1,40,7,7,9,1,1,41,5,2007,4,1,2,1
163,2021,8,19,4,3,1,5,3,303,99,99,2,41,7,7,9,1,1,41,5,2007,4,1,2,1
164,2021,9,12,3,2,1,6,1,108,1,99,1,999,16,12,18,9,1,74,3,9999,99,3,1,2
165,2021,9,12,3,2,1,6,1,108,1,99,1,15,2,2,4,2,1,74,3,9999,99,3,2,1
166,2021,9,11,2,1,1,6,10,1003,99,99,1,39,6,6,8,1,4,25,5,9999,99,1,2,2
167,2021,9,11,2,1,1,6,10,1003,99,99,1,37,6,6,8,1,4,25,5,9999,99,1,2,2
168,2021,9,13,3,2,1,6,10,1021,99,99,1,25,4,4,6,1,4,27,5,2021,6,1,2,1
169,2021,9,13,3,2,1,6,10,1021,99,99,2,48,8,8,10,1,4,27,5,2021,6,1,1,2
170,2021,9,18,4,3,1,6,10,1001,1,99,1,56,10,10,12,1,4,999,3,9999,99,1,2,1
171,2021,9,1,1,1,1,6,5,501,99,99,1,22,3,3,5,1,4,32,1,2016,5,1,2,1
172,2021,9,16,3,2,1,6,5,509,99,99,1,20,3,3,5,1,22,999,2,9999,99,6,2,1
173,2021,9,15,3,2,1,6,19,1906,99,99,1,15,2,2,4,2,4,18,1,2018,5,2,2,1
174,2021,9,15,3,2,1,6,19,1906,99,99,1,16,2,2,4,2,4,18,1,2018,5,2,1,2
175,2021,9,2,1,1,1,6,1,108,4,99,1,24,3,3,5,1,3,69,2,2017,5,1,2,1
176,2021,9,20,4,3,1,6,12,1218,99,99,1,52,9,9,11,1,4,999,99,9999,99,1,2,1
177,2021,9,16,3,2,1,6,22,2207,99,99,1,22,3,3,5,1,4,38,5,9999,99,1,1,2
178,2021,9,16,3,2,1,6,22,2207,99,99,1,22,3,3,5,1,4,38,5,9999,99,1,1,2
179,2021,9,0,1,1,1,6,13,1301,1,99,1,35,6,6,8,1,4,999,99,9999,99,1,2,2
180,2021,9,8,2,1,1,6,16,1601,1,99,1,42,7,7,9,1,4,18,99,9999,99,1,2,1
181,2021,9,8,2,1,1,6,16,1601,1,99,1,999,16,12,18,9,4,18,99,9999,99,1,2,1
182,2021,9,14,3,2,1,6,4,401,99,99,1,19,2,2,4,1,12,30,2,9999,99,1,2,1
183,2021,9,14,3,2,1,6,4,401,99,99,1,25,4,4,6,1,12,30,2,9999,99,1,2,1
184,2021,9,14,3,2,1,6,4,401,99,99,2,31,5,5,7,1,12,30,2,9999,99,1,2,1
185,2021,9,14,3,2,1,6,4,401,99,99,1,34,5,5,7,1,12,30,2,9999,99,1,2,1
186,2021,9,14,3,2,1,6,4,401,99,99,2,23,3,3,5,1,1,52,5,2003,4,1,1,2
187,2021,9,3,1,1,1,6,3,301,99,99,1,24,3,3,5,1,4,18,6,2003,4,1,2,1
188,2021,9,20,4,3,1,6,3,308,99,99,1,999,16,12,18,9,4,999,99,9999,99,1,2,1
189,2021,9,23,4,3,1,6,3,314,99,99,1,25,4,4,6,1,4,3,3,2020,6,1,2,1
190,2021,9,23,4,3,1,6,3,314,99,99,1,48,8,8,10,1,4,999,99,9999,99,1,2,1
191,2021,9,19,4,3,1,6,6,603,99,99,1,25,4,4,6,1,4,27,9,9999,99,1,2,1
192,2021,9,23,4,3,1,6,21,2101,99,99,1,999,16,12,18,9,4,32,1,9999,99,1,2,1
193,2021,9,23,4,3,1,6,17,1701,99,99,1,20,3,3,5,1,4,32,1,9999,99,1,2,1
194,2021,9,6,2,1,1,6,1,101,7,7,1,26,4,4,6,1,4,999,99,9999,99,1,1,2
195,2021,9,23,4,3,1,6,5,504,99,99,1,23,3,3,5,1,1,27,4,9999,99,2,1,2
196,2021,9,23,4,3,1,6,21,2101,99,99,1,27,4,4,6,1,4,32,1,9999,99,1,2,2
197,2021,9,23,4,3,1,6,21,2101,99,99,1,999,16,12,18,9,1,999,3,9999,99,1,2,1
198,2021,10,16,3,2,1,7,1,101,18,18,2,42,7,7,9,1,4,6,5,2011,5,1,2,1
199,2021,10,16,3,2,1,7,1,101,18,18,2,32,5,5,7,1,1,999,99,9999,99,1,2,1
200,2021,10,2,1,1,1,7,1,105,99,99,1,21,3,3,5,1,4,999,99,9999,99,6,2,1
201,2021,10,23,4,3,1,7,1,101,12,12,1,33,5,5,7,1,1,10,2,2008,4,2,2,1
202,2021,10,22,4,3,1,7,1,115,12,99,1,20,3,3,5,1,4,32,1,2020,6,6,1,2
203,2021,10,21,4,3,1,7,1,115,10,99,1,21,3,3,5,1,4,27,99,2017,5,1,2,2
204,2021,10,21,4,3,1,7,1,108,4,99,1,999,16,12,18,9,4,27,5,2018,5,1,1,2
205,2021,10,21,4,3,1,7,1,108,4,99,1,999,16,12,18,9,4,27,5,2018,5,1,1,2
206,2021,10,19,4,3,1,7,21,2101,99,99,1,999,16,12,18,9,4,64,5,2018,5,6,1,2
207,2021,10,21,4,3,1,7,20,2001,99,99,1,26,4,4,6,1,4,32,1,9999,99,1,2,1
208,2021,10,11,2,1,1,7,20,2001,99,99,2,56,10,10,12,1,3,69,1,9999,99,1,2,1
209,2021,10,11,2,1,1,7,20,2001,99,99,1,15,2,2,4,2,3,69,1,9999,99,1,2,1
210,2021,10,23,4,3,1,7,20,2002,99,99,1,57,10,10,12,1,3,17,2,9999,99,1,2,1
211,2021,10,7,2,1,1,7,5,512,99,99,2,70,13,11,15,1,7,19,7,2002,4,3,2,1
212,2021,10,17,3,2,1,7,10,1008,99,99,2,26,4,4,6,1,14,6,1,2014,5,2,2,2
213,2021,10,17,3,2,1,7,10,1008,99,99,2,14,1,1,3,2,14,6,1,2014,5,2,2,2
214,2021,10,19,4,3,1,7,12,1201,5,99,1,30,5,5,7,1,4,53,3,9999,99,1,1,2
215,2021,10,7,2,1,1,7,15,1504,99,99,1,19,2,2,4,1,4,76,3,9999,99,1,2,1
216,2021,10,7,2,1,1,7,15,1504,99,99,1,29,4,4,6,1,4,999,5,9999,99,1,2,1
217,2021,10,7,2,1,1,7,15,1504,99,99,2,20,3,3,5,1,4,76,3,9999,99,1,2,1
218,2021,10,18,4,3,1,7,2,208,99,99,1,9,1,1,2,2,3,56,9,9999,99,3,2,1
219,2021,10,8,2,1,1,7,18,1801,99,99,1,35,6,6,8,1,1,69,11,2021,6,1,2,1
220,2021,10,8,2,1,1,7,18,1801,99,99,1,41,7,7,9,1,1,69,11,2021,6,1,1,2
221,2021,10,8,2,1,1,7,18,1801,99,99,2,28,4,4,6,1,1,69,11,2021,6,1,2,1
222,2021,10,8,2,1,1,7,18,1801,99,99,2,20,3,3,5,1,1,69,11,2021,6,1,2,1
223,2021,10,8,2,1,1,7,18,1801,99,99,1,29,4,4,6,1,2,69,4,2001,4,1,2,1
224,2021,10,8,2,1,1,7,18,1801,99,99,2,66,12,11,14,1,2,69,4,2001,4,1,1,2
225,2021,10,8,2,1,1,7,18,1801,99,99,2,1,1,1,1,2,2,69,4,2001,4,1,2,1
226,2021,10,8,2,1,1,7,18,1801,99,99,1,1,1,1,1,2,2,69,4,2001,4,1,2,1
227,2021,10,20,4,3,1,7,6,609,99,99,1,20,3,3,5,1,4,999,99,9999,99,1,1,2
228,2021,11,17,3,2,1,1,1,103,99,99,1,38,6,6,8,1,4,6,1,2015,5,1,2,1
229,2021,11,7,2,1,1,1,1,101,12,12,1,36,6,6,8,1,4,6,3,2016,5,1,2,1
230,2021,11,19,4,3,1,1,1,101,11,11,1,22,3,3,5,1,4,67,5,9999,99,1,2,1
231,2021,11,13,3,2,1,1,1,117,7,99,1,999,16,12,18,9,4,76,5,9999,99,1,2,2
232,2021,11,16,3,2,1,1,1,114,99,99,1,39,6,6,8,1,4,77,2,9999,99,1,2,1
233,2021,11,18,4,3,1,1,19,1904,99,99,1,21,3,3,5,1,4,67,5,2015,5,6,2,1
234,2021,11,0,1,1,1,1,5,511,99,99,1,22,3,3,5,1,6,19,3,2000,4,1,2,2
235,2021,11,5,1,1,1,1,6,602,99,99,1,23,3,3,5,1,4,6,5,9999,99,1,2,1
236,2021,11,5,1,1,1,1,6,602,99,99,1,37,6,6,8,1,4,6,5,9999,99,1,2,1
237,2021,11,19,4,3,1,1,11,1104,99,99,1,50,9,9,11,1,4,2,3,9999,99,1,2,1
238,2021,11,19,4,3,1,1,11,1104,99,99,1,37,6,6,8,1,4,2,3,9999,99,1,2,1
239,2021,11,12,3,2,1,1,9,901,99,99,1,38,6,6,8,1,4,76,3,2020,6,1,2,1
