num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
249,2021,18,18,4,3,1,1,1,108,6,99,12,999,7,9999,99,1
250,2021,18,17,3,2,1,1,22,2201,99,99,4,141,5,9999,99,2
251,2021,18,21,4,3,1,1,5,502,99,99,2,27,4,9999,99,1
252,2021,18,1,1,1,1,1,6,602,99,99,4,64,99,9999,99,6
253,2021,18,18,4,3,1,1,6,601,99,99,2,28,99,9999,99,1
254,2021,18,21,4,3,1,1,6,608,99,99,6,999,99,9999,99,7
255,2021,18,21,4,3,1,1,12,1207,3,99,1,56,4,9999,99,1
256,2021,18,19,4,3,1,1,16,1602,99,99,1,69,99,9999,99,1
257,2021,19,18,4,3,1,2,1,105,99,99,3,69,11,1993,3,7
258,2021,19,23,4,3,1,2,1,101,13,13,1,28,3,2018,5,1
259,2021,19,12,3,2,1,2,1,101,7,7,99,34,3,2003,4,1
260,2021,19,13,3,2,1,2,4,406,99,99,12,999,11,2011,5,3
261,2021,19,22,4,3,1,2,4,401,99,99,1,10,2,9999,99,2
262,2021,19,23,4,3,1,2,3,301,99,99,3,69,1,2001,4,1
263,2021,20,21,4,3,1,3,1,101,13,13,1,48,9,2010,5,1
264,2021,20,22,4,3,1,3,1,101,11,11,4,2,5,9999,99,6
265,2021,20,14,3,2,1,3,1,108,11,99,5,30,6,2000,4,1
266,2021,20,1,1,1,1,3,1,115,99,99,99,999,99,9999,99,1
267,2021,20,11,2,1,1,3,1,115,99,99,5,30,2,1999,3,3
268,2021,20,22,4,3,1,3,4,401,99,99,4,32,1,9999,99,1
269,2021,20,21,4,3,1,3,5,502,99,99,3,69,6,9999,99,1
270,2021,20,6,2,1,1,3,5,504,99,99,13,190,1,9999,99,1
271,2021,20,18,4,3,1,3,7,713,99,99,4,999,99,9999,99,6
272,2021,20,11,2,1,1,3,10,1010,99,99,5,50,3,9999,99,1
273,2021,20,19,4,3,1,3,11,1102,99,99,6,19,2,9999,99,1
274,2021,20,19,4,3,1,3,13,1301,3,99,4,32,99,9999,99,1
275,2021,20,0,1,1,1,3,16,1602,99,99,9,69,4,2008,4,1
276,2021,20,18,4,3,1,3,19,1902,99,99,2,69,4,9999,99,3
277,2021,20,17,3,2,1,3,20,2007,99,99,4,18,1,9999,99,1
278,2021,21,12,3,2,1,4,1,101,1,1,1,67,6,1997,3,1
279,2021,21,6,2,1,1,4,1,101,17,17,3,69,6,1994,3,1
280,2021,21,8,2,1,1,4,1,101,13,13,3,69,5,1998,3,1
281,2021,21,21,4,3,1,4,1,113,99,99,2,27,10,9999,99,1
282,2021,21,19,4,3,1,4,1,101,7,7,3,69,9,1994,3,1
283,2021,21,5,1,1,1,4,1,115,4,99,4,999,99,9999,99,2
284,2021,21,14,3,2,1,4,1,117,7,99,3,69,2,9999,99,1
285,2021,21,17,3,2,1,4,1,115,3,99,2,28,4,2004,4,1
286,2021,21,20,4,3,1,4,1,115,6,99,3,999,5,9999,99,1
287,2021,21,21,4,3,1,4,1,116,99,99,3,999,99,9999,99,1
288,2021,21,21,4,3,1,4,1,116,99,99,4,54,5,2012,5,1
289,2021,21,3,1,1,1,4,1,108,8,99,1,48,99,2014,5,2
290,2021,21,17,3,2,1,4,22,2217,99,99,4,32,5,9999,99,1
291,2021,21,21,4,3,1,4,22,2205,99,99,2,27,4,9999,99,1
292,2021,21,10,2,1,1,4,6,602,99,99,5,30,2,1996,3,1
293,2021,21,16,3,2,1,4,6,614,99,99,4,6,5,9999,99,6
294,2021,21,21,4,3,1,4,12,1202,3,99,1,999,99,9999,99,3
295,2021,21,21,4,3,1,4,13,1301,1,99,2,69,4,9999,99,1
296,2021,21,18,4,3,1,4,13,1327,99,99,5,999,99,9999,99,1
297,2021,21,18,4,3,1,4,17,1711,99,99,4,999,99,9999,99,1
298,2021,22,2,1,1,1,5,1,101,8,8,2,48,10,2018,5,2
299,2021,22,10,2,1,1,5,1,105,99,99,2,27,4,9999,99,1
300,2021,22,21,4,3,1,5,1,101,24,24,1,48,7,1991,3,1
301,2021,22,21,4,3,1,5,1,101,17,17,1,999,99,9999,99,1
302,2021,22,12,3,2,1,5,1,101,10,10,1,52,4,2017,5,1
303,2021,22,20,4,3,1,5,1,113,99,99,1,69,3,2006,4,1
304,2021,22,22,4,3,1,5,1,115,1,99,1,27,6,9999,99,3
305,2021,22,17,3,2,1,5,1,101,19,19,1,69,4,9999,99,1
306,2021,22,7,2,1,1,5,1,110,99,99,3,999,99,9999,99,1
307,2021,22,10,2,1,1,5,19,1903,99,99,14,6,1,2002,4,1
308,2021,22,21,4,3,1,5,19,1904,99,99,1,999,99,9999,99,1
309,2021,22,1,1,1,1,5,6,608,99,99,1,52,3,9999,99,2
310,2021,22,21,4,3,1,5,10,1014,99,99,3,73,2,2006,4,1
311,2021,22,20,4,3,1,5,13,1304,99,99,1,999,6,9999,99,1
312,2021,22,18,4,3,1,5,2,201,99,99,4,999,99,9999,99,1
313,2021,22,16,3,2,1,5,18,1805,99,99,3,69,1,1986,2,2
314,2021,22,13,3,2,1,5,4,416,99,99,1,69,4,2008,4,1
315,2021,22,23,4,3,1,5,15,1504,99,99,4,67,99,9999,99,6
316,2021,23,11,2,1,1,6,1,101,7,7,2,66,2,2018,5,1
317,2021,23,9,2,1,1,6,1,115,12,99,1,999,99,9999,99,1
318,2021,23,19,4,3,1,6,1,101,21,21,1,27,4,1990,3,1
319,2021,23,20,4,3,1,6,1,101,12,12,2,69,9,1987,2,1
320,2021,23,7,2,1,1,6,1,116,99,99,4,32,5,2018,5,1
321,2021,23,20,4,3,1,6,1,117,7,99,4,6,1,9999,99,1
322,2021,23,23,4,3,1,6,1,114,99,99,4,32,1,9999,99,1
323,2021,23,21,4,3,1,6,1,108,7,99,1,17,4,2016,5,1
324,2021,23,22,4,3,1,6,1,110,99,99,4,999,1,9999,99,1
325,2021,23,23,4,3,1,6,1,108,6,99,3,17,6,2005,4,1
326,2021,23,21,4,3,1,6,22,2204,99,99,2,69,4,9999,99,1
327,2021,23,18,4,3,1,6,19,1904,99,99,6,19,3,1995,3,1
328,2021,23,14,3,2,1,6,5,509,99,99,6,19,9,1993,3,1
329,2021,23,20,4,3,1,6,5,501,99,99,1,41,4,9999,99,2
330,2021,23,7,2,1,1,6,5,501,99,99,6,999,99,9999,99,1
331,2021,23,20,4,3,1,6,6,614,99,99,4,999,99,9999,99,6
332,2021,23,19,4,3,1,6,10,1002,99,99,3,46,99,9999,99,1
333,2021,23,23,4,3,1,6,10,1001,99,99,4,2,1,9999,99,1
334,2021,23,16,3,2,1,6,11,1101,99,99,4,27,6,9999,99,6
335,2021,23,1,1,1,1,6,13,1301,11,99,2,56,5,9999,99,1
336,2021,23,6,2,1,1,6,16,1613,99,99,7,999,4,2018,5,1
337,2021,23,17,3,2,1,6,16,1611,99,99,5,41,2,2018,5,1
338,2021,23,12,3,2,1,6,15,1501,99,99,14,999,99,9999,99,1
339,2021,23,16,3,2,1,6,2,208,99,99,99,999,99,9999,99,1
340,2021,23,23,4,3,1,6,18,1801,99,99,4,6,3,2005,4,1
341,2021,23,12,3,2,1,6,14,1401,1,99,3,69,2,1985,2,1
342,2021,23,7,2,1,1,6,4,401,99,99,5,19,2,1997,3,2
343,2021,23,1,1,1,1,6,3,312,99,99,2,56,3,9999,99,1
344,2021,23,20,4,3,1,6,3,312,99,99,2,27,3,2006,4,1
345,2021,23,18,4,3,1,6,3,307,99,99,99,999,99,9999,99,1
346,2021,24,9,2,1,1,7,1,101,1,1,1,28,2,2013,5,1
347,2021,24,13,3,2,1,7,1,101,3,3,4,27,5,2005,4,1
348,2021,24,0,1,1,1,7,1,101,2,2,5,999,99,9999,99,1
